"STREAM_ID","MOVIE_ID","TITLE","STUDIO_NAME","PRIMARY_GENRE","RELEASE_YEAR","CRITIC_SCORE","AUDIENCE_SCORE","PLATFORM_NAME","MONTH_DATE","STREAM_YEAR","STREAM_MONTH","ESTIMATED_VIEWS","ESTIMATED_HOURS","COMPLETION_RATE","IS_FEATURED","TOTAL_GROSS","PERFORMANCE_TIER"
"55","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-10-01","2020","10","65",115.2,68.62,false,653000000,"Blockbuster"
"56","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-11-01","2020","11","109",172.2,71.96,false,653000000,"Blockbuster"
"57","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-12-01","2020","12","149",272.9,76.66,false,653000000,"Blockbuster"
"58","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-01-01","2021","1","129",256.8,55.31,false,653000000,"Blockbuster"
"59","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-02-01","2021","2","143",197.5,65.85,false,653000000,"Blockbuster"
"60","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-03-01","2021","3","90",171.3,67.2,false,653000000,"Blockbuster"
"61","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-04-01","2021","4","129",185.5,80.08,false,653000000,"Blockbuster"
"62","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-05-01","2021","5","127",261.8,70.79,false,653000000,"Blockbuster"
"63","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-06-01","2021","6","112",187.9,68.59,false,653000000,"Blockbuster"
"64","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-07-01","2021","7","103",155.3,63,false,653000000,"Blockbuster"
"65","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-08-01","2021","8","141",264.1,84.13,false,653000000,"Blockbuster"
"66","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-09-01","2021","9","113",175.6,71.61,false,653000000,"Blockbuster"
"67","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-10-01","2021","10","167",328.7,60.99,false,653000000,"Blockbuster"
"68","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-11-01","2021","11","137",215.3,81.45,false,653000000,"Blockbuster"
"69","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2021-12-01","2021","12","201",279.5,87.19,false,653000000,"Blockbuster"
"70","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-01-01","2022","1","127",174.2,56.85,false,653000000,"Blockbuster"
"71","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-02-01","2022","2","173",356.6,68.37,false,653000000,"Blockbuster"
"72","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-03-01","2022","3","109",162.2,81.01,false,653000000,"Blockbuster"
"73","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-04-01","2022","4","112",201.5,62.69,false,653000000,"Blockbuster"
"74","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-05-01","2022","5","72",108.9,86.06,false,653000000,"Blockbuster"
"75","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-06-01","2022","6","72",100.3,71.92,false,653000000,"Blockbuster"
"76","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-07-01","2022","7","112",203.6,83.38,false,653000000,"Blockbuster"
"77","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-08-01","2022","8","84",141,68.35,false,653000000,"Blockbuster"
"78","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-09-01","2022","9","139",275.7,64.76,false,653000000,"Blockbuster"
"79","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-10-01","2022","10","86",127.4,75.33,true,653000000,"Blockbuster"
"80","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-11-01","2022","11","198",291.5,58.91,false,653000000,"Blockbuster"
"81","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2022-12-01","2022","12","160",262.2,85.81,false,653000000,"Blockbuster"
"82","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-01-01","2023","1","91",141.6,68.42,false,653000000,"Blockbuster"
"83","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-02-01","2023","2","101",139.6,62.69,false,653000000,"Blockbuster"
"84","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-03-01","2023","3","152",287,57.98,false,653000000,"Blockbuster"
"85","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-04-01","2023","4","119",233.9,65.04,false,653000000,"Blockbuster"
"86","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-05-01","2023","5","91",169.3,66.95,false,653000000,"Blockbuster"
"87","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-06-01","2023","6","81",150.7,78.63,false,653000000,"Blockbuster"
"88","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-07-01","2023","7","170",318.8,71.51,false,653000000,"Blockbuster"
"89","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-08-01","2023","8","71",103.5,64.82,false,653000000,"Blockbuster"
"90","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-09-01","2023","9","128",268.6,74.64,false,653000000,"Blockbuster"
"91","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-10-01","2023","10","101",160.7,80.16,true,653000000,"Blockbuster"
"92","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-11-01","2023","11","166",284.4,86.6,false,653000000,"Blockbuster"
"93","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2023-12-01","2023","12","203",305.6,82.35,false,653000000,"Blockbuster"
"94","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-01-01","2024","1","115",158.3,76.61,false,653000000,"Blockbuster"
"95","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-02-01","2024","2","156",298.3,75.66,false,653000000,"Blockbuster"
"96","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-03-01","2024","3","176",307.1,55.48,false,653000000,"Blockbuster"
"97","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-04-01","2024","4","147",254.7,75.18,false,653000000,"Blockbuster"
"98","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-05-01","2024","5","95",186.7,72,false,653000000,"Blockbuster"
"99","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-06-01","2024","6","78",144.5,79.97,false,653000000,"Blockbuster"
"100","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-07-01","2024","7","73",137.6,62.57,false,653000000,"Blockbuster"
"101","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-08-01","2024","8","67",103.1,74.53,false,653000000,"Blockbuster"
"102","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-09-01","2024","9","98",162.8,81.12,false,653000000,"Blockbuster"
"103","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-10-01","2024","10","122",176.9,61.96,false,653000000,"Blockbuster"
"104","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-11-01","2024","11","96",165.6,67.73,false,653000000,"Blockbuster"
"105","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2024-12-01","2024","12","105",167,62.83,false,653000000,"Blockbuster"
"106","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-01-01","2025","1","122",218.8,55.08,false,653000000,"Blockbuster"
"107","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-02-01","2025","2","149",261.4,57.27,false,653000000,"Blockbuster"
"108","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-03-01","2025","3","163",280.2,74.13,false,653000000,"Blockbuster"
"109","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-04-01","2025","4","166",284.1,82.45,false,653000000,"Blockbuster"
"110","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-05-01","2025","5","141",244.4,60.9,false,653000000,"Blockbuster"
"111","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-06-01","2025","6","109",223.4,85.43,true,653000000,"Blockbuster"
"112","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-07-01","2025","7","176",335.2,85.14,false,653000000,"Blockbuster"
"113","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-08-01","2025","8","92",187.6,82.35,false,653000000,"Blockbuster"
"114","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-09-01","2025","9","170",267.2,80.25,false,653000000,"Blockbuster"
"115","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-10-01","2025","10","69",144.8,61.7,false,653000000,"Blockbuster"
"116","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-11-01","2025","11","148",287,80.68,false,653000000,"Blockbuster"
"117","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2025-12-01","2025","12","87",166.4,82.23,false,653000000,"Blockbuster"
"118","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-03-01","2016","3","2341",3942.4,64.11,false,881000000,"Blockbuster"
"119","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-04-01","2016","4","730",1259.4,81.61,false,881000000,"Blockbuster"
"120","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-05-01","2016","5","727",1423,84.78,false,881000000,"Blockbuster"
"121","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-06-01","2016","6","549",1102.7,67.62,false,881000000,"Blockbuster"
"122","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-07-01","2016","7","332",623.3,76.06,false,881000000,"Blockbuster"
"123","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-08-01","2016","8","275",422.6,56.86,false,881000000,"Blockbuster"
"124","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-09-01","2016","9","52",106.1,64.56,false,881000000,"Blockbuster"
"125","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-10-01","2016","10","76",162.6,79.06,false,881000000,"Blockbuster"
"126","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-11-01","2016","11","116",196.9,61.63,false,881000000,"Blockbuster"
"127","9","Spectre","Sony","Action","2015",63,60,"Netflix","2016-12-01","2016","12","146",319.5,81.29,false,881000000,"Blockbuster"
"128","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-01-01","2017","1","71",117.3,68.93,false,881000000,"Blockbuster"
"129","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-02-01","2017","2","65",135.6,85.36,false,881000000,"Blockbuster"
"130","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-03-01","2017","3","102",222.9,87.45,false,881000000,"Blockbuster"
"131","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-04-01","2017","4","96",160.5,84.64,false,881000000,"Blockbuster"
"132","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-05-01","2017","5","50",90.9,75.39,false,881000000,"Blockbuster"
"133","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-06-01","2017","6","120",263.7,76.24,false,881000000,"Blockbuster"
"134","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-07-01","2017","7","127",287.6,78.16,false,881000000,"Blockbuster"
"135","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-08-01","2017","8","90",137.5,66.88,false,881000000,"Blockbuster"
"136","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-09-01","2017","9","64",112.7,81.54,false,881000000,"Blockbuster"
"137","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-10-01","2017","10","106",162.6,78.09,false,881000000,"Blockbuster"
"138","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-11-01","2017","11","71",128.9,72.16,false,881000000,"Blockbuster"
"139","9","Spectre","Sony","Action","2015",63,60,"Netflix","2017-12-01","2017","12","73",137.6,82.34,false,881000000,"Blockbuster"
"140","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-01-01","2018","1","118",242.8,72.75,false,881000000,"Blockbuster"
"141","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-02-01","2018","2","98",199.9,79.7,false,881000000,"Blockbuster"
"142","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-03-01","2018","3","99",208,71.67,false,881000000,"Blockbuster"
"143","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-04-01","2018","4","44",73.7,85.78,false,881000000,"Blockbuster"
"144","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-05-01","2018","5","64",134.1,84.8,false,881000000,"Blockbuster"
"145","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-06-01","2018","6","102",161.9,74.98,false,881000000,"Blockbuster"
"146","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-07-01","2018","7","88",142.7,66.5,false,881000000,"Blockbuster"
"147","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-08-01","2018","8","127",277.6,65.08,false,881000000,"Blockbuster"
"148","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-09-01","2018","9","91",187.3,84.73,false,881000000,"Blockbuster"
"149","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-10-01","2018","10","110",178.7,78.37,false,881000000,"Blockbuster"
"150","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-11-01","2018","11","74",134.1,79.92,false,881000000,"Blockbuster"
"151","9","Spectre","Sony","Action","2015",63,60,"Netflix","2018-12-01","2018","12","122",217.6,75.42,false,881000000,"Blockbuster"
"152","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-01-01","2019","1","104",183.8,81.31,false,881000000,"Blockbuster"
"153","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-02-01","2019","2","85",157.1,58.19,false,881000000,"Blockbuster"
"154","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-03-01","2019","3","92",190.7,59.57,false,881000000,"Blockbuster"
"155","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-04-01","2019","4","87",164.3,61.04,false,881000000,"Blockbuster"
"156","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-05-01","2019","5","112",213.8,67.47,false,881000000,"Blockbuster"
"157","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-06-01","2019","6","60",99.5,72.3,false,881000000,"Blockbuster"
"158","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-07-01","2019","7","97",175,84.05,false,881000000,"Blockbuster"
"159","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-08-01","2019","8","127",249,72.78,false,881000000,"Blockbuster"
"160","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-09-01","2019","9","63",94,84.06,false,881000000,"Blockbuster"
"161","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-10-01","2019","10","44",87.8,80.02,false,881000000,"Blockbuster"
"162","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-11-01","2019","11","151",321.8,55.85,false,881000000,"Blockbuster"
"163","9","Spectre","Sony","Action","2015",63,60,"Netflix","2019-12-01","2019","12","130",281.6,75.16,false,881000000,"Blockbuster"
"164","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-01-01","2020","1","117",203.1,75.19,false,881000000,"Blockbuster"
"165","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-02-01","2020","2","58",94.1,59.28,false,881000000,"Blockbuster"
"166","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-03-01","2020","3","114",171.8,75.74,false,881000000,"Blockbuster"
"167","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-04-01","2020","4","52",77.8,78.59,false,881000000,"Blockbuster"
"168","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-05-01","2020","5","110",186,74.11,false,881000000,"Blockbuster"
"169","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-06-01","2020","6","60",93.1,72.7,false,881000000,"Blockbuster"
"170","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-07-01","2020","7","56",103.4,63.23,false,881000000,"Blockbuster"
"171","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-08-01","2020","8","127",285,84.79,false,881000000,"Blockbuster"
"172","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-09-01","2020","9","86",169.5,80.37,false,881000000,"Blockbuster"
"173","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-10-01","2020","10","93",166,71.65,false,881000000,"Blockbuster"
"174","9","Spectre","Sony","Action","2015",63,60,"Netflix","2020-11-01","2020","11","103",174.6,86.7,false,881000000,"Blockbuster"
